MESH:D011218	116HG
MESH:D000544	17A
MESH:D004715	1B FGF-antisense transcripts
MESH:D009369	21A
MESH:D002583	21A
MESH:D005909	21A
MESH:D009447	21A
MESH:D000544	51A
MESH:D012516	91H
MESH:D009157	A_19_P00321478
MESH:D009157	A_19_P00329564
MESH:D009157	A_19_P00803960
MESH:D009157	A_21_P0000496
MESH:D009157	A_21_P0000497
MESH:D009157	A_21_P0001434
MESH:D009157	A_21_P0002178
MESH:D009157	A_21_P0002680
MESH:D009157	A_21_P0003820
MESH:D009157	A_21_P0004675
MESH:D009157	A_21_P0005082
MESH:D009157	A_21_P0005096
MESH:D009157	A_21_P0006107
MESH:D009157	A_21_P0006993
MESH:D009157	A_21_P0007156
MESH:D009157	A_21_P0009937
MESH:D009157	A_21_P0010060
MESH:D009157	A_21_P0010779
MESH:D009157	A_21_P0010904
MESH:D009157	A_21_P0011650
MESH:D009157	A_21_P0012435
MESH:D009157	A_21_P0012517
MESH:D009157	A_21_P0013529
MESH:D009157	A_21_P0014402
MESH:D009157	A_21_P0014735
MESH:D009157	A_21_P0014771
MESH:D009157	A_23_P370733
MESH:D009157	A_23_P427703
MESH:D009157	A_24_P170439
MESH:D009157	A_24_P506977
MESH:D009157	A_24_P927716
MESH:D009157	A_33_P3242109
MESH:D009157	A_33_P3253131
MESH:D009157	A_33_P3306078
MESH:D009157	A_33_P3337574
MESH:D009157	A_33_P3652730
MESH:D013274	A2M-AS1
MESH:D013274	AA041523
MESH:D013274	AA174084
MESH:D013274	AA463827
MESH:D006330	AA584040
MESH:D006330	AA709223
MESH:D001749	AATBC
MESH:D001749	AB074278
MESH:D008545	ABALON
MESH:D013274	ABHD11-AS1
MESH:D001749	ABHD11-AS1
MESH:D008175	Abhd11os
MESH:D010051	Abhd11os
MESH:D004769	AC002511.1
MESH:D009369	AC004463.6
MESH:D013274	AC004528.1
MESH:D012516	AC004707.1
MESH:D010300	AC004744.3
MESH:D012640	AC004854.2
MESH:D000077192	AC005083.1
MESH:D008545	AC005523.2
MESH:D013274	AC005696.4
MESH:D012509	AC006129.2
MESH:D013683	AC006305.1
MESH:D005909	AC007333.1
MESH:D013683	AC007743.1
MESH:D029424	AC007823.1
MESH:D013683	AC007848.2
MESH:D002583	AC008392.1
MESH:D011471	AC009014.3
MESH:D012516	AC010907.2
MESH:C562729	AC011365.1
MESH:D000077192	AC011510.1
MESH:D000077192	AC011526.1
MESH:D005909	AC011718.3
MESH:D015451	AC012065.7
MESH:D000077273	AC012368.2
MESH:D005909	AC013472.6
MESH:D012859	AC017002.3
MESH:D005909	AC022311.1
MESH:D011085	AC023128.1
MESH:D002583	AC024560.2
MESH:D012516	AC025423.4
MESH:D009447	AC025580.1
MESH:D000077192	AC026369.2
MESH:D013683	AC026427.1
MESH:D006528	AC062028.1
MESH:D011085	AC068282.1
MESH:D054058	AC068831.6
MESH:D008175	AC068888.1
MESH:D013274	AC079089.1
MESH:D013683	AC079610.1
MESH:D000077192	AC079742.1
MESH:D010190	AC087521.1
MESH:D012640	AC087521.1
MESH:D014376	AC090286.1
MESH:D003424	AC090510.3
MESH:D013274	AC090510.3
MESH:D008175	AC091891.2
MESH:D010051	AC091891.2
MESH:D013274	AC091891.2
MESH:D010190	AC092053.3
MESH:D005909	AC092168.4
MESH:D015470	AC092580.4
MESH:D013683	AC093620.1
MESH:D000077277	AC093850.2
MESH:D009369	AC095067.1
MESH:D000077192	AC095350.1
MESH:D013274	AC096655.1
MESH:D000077274	AC100786.1
MESH:D010190	AC103706.1
MESH:D013274	AC104699.1
MESH:D010051	AC104699.1.1
MESH:D013683	AC109349.1
MESH:D013274	AC109811.1
MESH:D013683	AC109927.1
MESH:D013274	AC110615.1
MESH:D013683	AC112206.2
MESH:D013274	AC113133.1
MESH:D013274	AC114291.1
MESH:D002294	AC125807.2
MESH:D005909	AC133528.2
MESH:D013274	AC138128.1
MESH:D008175	AC139887.2
MESH:D000077274	AC144450.1
MESH:D006331	AC245452.1
MESH:D009298	ACBD7
MESH:D000077192	ACTA2-AS1
MESH:D009298	ADAMTS5
MESH:D000077216	ADAMTS9-AS1
MESH:D004833	ADARB2-AS1
MESH:D009369	AFAP1-AS1
MESH:C562730	AFAP1-AS1
MESH:C562729	AFAP1-AS1
MESH:D005706	AFAP1-AS1
MESH:D000077192	AFAP1-AS1
MESH:D008175	AFAP1-AS1
MESH:D000077274	AFAP1-AS1
MESH:D010051	AFAP1-AS1
MESH:D010190	AFAP1-AS1
MESH:D013274	AFAP1-AS1
MESH:D013274	AFDN-AS1
MESH:D009447	AFO86071
MESH:D013274	AGAP2-AS1
MESH:D009298	AGR3
MESH:D013274	AI028608
MESH:D013274	AI056187
MESH:D013274	AI080288
MESH:D013274	AI095542
MESH:D013274	AI364715
MESH:D013274	AI916498
MESH:D009396	AIRN
MESH:D009447	AK002005
MESH:D010300	AK021630
MESH:D055752	AK09398
MESH:D013274	AKR7L
MESH:D011085	AL021940.1
MESH:D008175	AL022322.2
MESH:D005909	AL031123.1
MESH:D010190	AL031123.2
MESH:D000077273	AL031710.1
MESH:D012640	AL109610.1
MESH:D005909	AL121827.2
MESH:D013274	AL121895.1
MESH:D012516	AL132780.1
MESH:D006528	AL133153.2
MESH:D012559	AL133284.1
MESH:D055947	AL161804.1
MESH:D005600	AL162457.1
MESH:D009422	AL162457.1
MESH:D010051	AL162457.1
MESH:D013274	AL162586.1
MESH:D013274	AL353622.4
MESH:D008180	AL357060.1
MESH:D012208	AL359504.2
MESH:D000077273	AL360295.1
MESH:D003865	AL442128.2
MESH:D013683	AL445248.1
MESH:D013274	AL627422.2
MESH:D013274	AL703532
MESH:D009298	ALOX5
MESH:D008268	Alu lncRNAs
MESH:D009298	AMD1
MESH:D011085	Androgen Receptor Coregulator CTBP1-AS
MESH:D005909	ANKH
MESH:D016889	ANKRD20A21P
MESH:D013274	ANXA2P2
MESH:D010190	AP000221.1
MESH:D006330	AP000552.1
MESH:D004769	AP000688.29
MESH:D012509	AP001432.14
MESH:D013274	AP001439.2
MESH:D013683	AP001528.2
MESH:D013274	AP002380.1
MESH:D012640	AP006547.1
MESH:D000077274	AP5M1
MESH:D000077273	APELA
MESH:D009203	APF
MESH:D009298	APOC1
MESH:D005909	APTR
MESH:D008103	APTR
MESH:D009298	AQP9
MESH:D009298	ARRDC3
MESH:D010300	AS Uch1
MESH:D020388	AS_INT55
MESH:D009298	ASAP1
MESH:D010051	ASAP1-IT1
MESH:D002583	ASK00420
MESH:D012516	ASLNC00339
MESH:D005909	ASLNC20819
MESH:D005909	ASLNC22381
MESH:D000077277	ATB
MESH:D007627	ATB
MESH:D011471	ATB
MESH:D009298	ATF3
MESH:D006973	Atg9b
MESH:D002311	ATP6V1G2-DDX39B
MESH:D002312	ATP6V1G2-DDX39B
MESH:D020754	ATXN8OS
MESH:D013274	AW206234
MESH:D000544	BACE1
MESH:D000544	BACE1-AS
MESH:D006333	BACE1-AS
MESH:D018979	BACE1-AS
MESH:D010051	BACE1-AS
MESH:D012509	BACH1-IT2
MESH:D054198	BALR-2
MESH:D054198	BALR-6
MESH:D057765	BANCR
MESH:C562729	BANCR
MESH:D004067|MESH:D005770	BANCR
MESH:D008175	BANCR
MESH:D008545	BANCR
MESH:D012516	BANCR
MESH:D000077273	BANCR
MESH:D012175	BANCR
MESH:D013274	BANCR
MESH:D001749	BANCR
MESH:D009298	BBS7
MESH:D009447	BC041938
MESH:D002583	BCAR4
MESH:D002813	BCAR4
MESH:D012516	BCAR4
MESH:D013274	BCAR4
MESH:D009298	BCL2L15
MESH:D009298	BCO2
MESH:D000077192	BCRP3
MESH:D000544	BCYRN1
MESH:D009369	BCYRN1
MESH:D002583	BCYRN1
MESH:D004938	BCYRN1
MESH:D005909	BCYRN1
MESH:D008175	BCYRN1
MESH:D010051	BCYRN1
MESH:D010307	BCYRN1
MESH:D002294	BCYRN1
MESH:D014062	BCYRN1
MESH:D002583	BDLNR
MESH:D006816	BDNF-AS
MESH:D001523	BDNF-AS
MESH:D009765	BDNF-AS
MESH:D012175	BDNF-AS
MESH:D012559	BDNF-AS
MESH:D012640	BDNF-AS
MESH:D012516	BE503655
MESH:D013274	BE621082
MESH:D013274	BF238392
MESH:D013274	BF511694
MESH:D003550	BGas
MESH:D015464	BGLT3
MESH:D009298	BHLHE40
MESH:D009369	BLACAT1
MESH:D002583	BLACAT1
MESH:D000077192	BLACAT1
MESH:D013274	BLACAT1
MESH:D001749	BLACAT1
MESH:D000077192	BMS1P20
MESH:D009369	BOK-AS1
MESH:D002294	BOK-AS1
MESH:D013736	BOK-AS1
MESH:C562419	BPESC1
MESH:D001749	BRINP1
MESH:D009298	BTK
MESH:D009298	BTNL9
MESH:D006330	BX478947
MESH:D009298	C11orf21
MESH:D009298	C1orf186
MESH:D011471	C1QTNF9B-AS1
MESH:D002545	C2dat1
MESH:D009298	C4orf47
MESH:D000077277	C5orf66-AS1
MESH:D000077195	C5orf66-AS1
MESH:D002294	C5orf66-AS1
MESH:D001749	C5orf66-AS1
MESH:D001172	C5T1
MESH:D009298	CABCOCO1
MESH:D013274	CACNAICAS3
MESH:D013274	CACS8
MESH:D001749	CADM3-AS1
MESH:D009447	CAI2
MESH:D006528	CAMTA1
MESH:D009203	CARL
MESH:D010051	CARS2
MESH:D002280	CASC15
MESH:D008545	CASC15
MESH:D009447	CASC15
MESH:D013274	CASC15
MESH:D009447	CASC15-S
MESH:D009369	CASC2
MESH:D016889	CASC2
MESH:D005910	CASC2
MESH:D000077192	CASC2
MESH:D008175	CASC2
